"Statistic Label","CensusYear","Principal Economic Status","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Upper secondary","Number","316845"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Technical/vocational","Number","140704"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Advanced certificate/completed apprenticeship","Number","62798"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Higher certificate","Number","109291"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Ordinary bachelor degree/professional qualification or both","Number","147153"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Honours bachelor degree/professional qualification or both","Number","249667"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Postgraduate diploma or degree","Number","218551"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Doctorate (Ph.D.)","Number","18034"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Not stated","Number","106986"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Economic status - total at school, university, etc.","Number","237404"
"Population Aged 15 Years and Over","2022","All persons aged 15 years and over","Female","Economic status - other","Number","147310"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Total education ceased and not ceased","Number","2320297"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","No formal education","Number","18208"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Primary","Number","44520"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Lower secondary","Number","199764"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Upper secondary","Number","369905"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Technical/vocational","Number","155965"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Advanced certificate/completed apprenticeship","Number","143263"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Higher certificate","Number","137098"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","193379"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Honours bachelor degree/professional qualification or both","Number","377890"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Postgraduate diploma or degree","Number","318829"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Doctorate (Ph.D.)","Number","31136"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Not stated","Number","121585"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Persons at work","Both sexes","Economic status - other","Number","208755"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Total education ceased and not ceased","Number","1241353"
"Population Aged 15 Years and Over","2022","Persons at work","Male","No formal education","Number","12792"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Primary","Number","32107"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Lower secondary","Number","140923"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Upper secondary","Number","210290"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Technical/vocational","Number","74533"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Advanced certificate/completed apprenticeship","Number","101934"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Higher certificate","Number","61784"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Ordinary bachelor degree/professional qualification or both","Number","96878"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Honours bachelor degree/professional qualification or both","Number","174105"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Postgraduate diploma or degree","Number","138177"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Doctorate (Ph.D.)","Number","16030"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Not stated","Number","69988"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Persons at work","Male","Economic status - other","Number","111812"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Total education ceased and not ceased","Number","1078944"
"Population Aged 15 Years and Over","2022","Persons at work","Female","No formal education","Number","5416"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Primary","Number","12413"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Lower secondary","Number","58841"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Upper secondary","Number","159615"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Technical/vocational","Number","81432"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Advanced certificate/completed apprenticeship","Number","41329"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Higher certificate","Number","75314"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Ordinary bachelor degree/professional qualification or both","Number","96501"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Honours bachelor degree/professional qualification or both","Number","203785"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Postgraduate diploma or degree","Number","180652"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Doctorate (Ph.D.)","Number","15106"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Not stated","Number","51597"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Persons at work","Female","Economic status - other","Number","96943"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Total education ceased and not ceased","Number","34526"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","No formal education","Number","805"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Primary","Number","1328"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Lower secondary","Number","4343"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Upper secondary","Number","7058"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Technical/vocational","Number","1764"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Advanced certificate/completed apprenticeship","Number","717"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Higher certificate","Number","970"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","1524"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Honours bachelor degree/professional qualification or both","Number","2645"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Postgraduate diploma or degree","Number","1931"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Doctorate (Ph.D.)","Number","175"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Not stated","Number","2587"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Both sexes","Economic status - other","Number","8679"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Total education ceased and not ceased","Number","19297"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","No formal education","Number","492"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Primary","Number","870"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Lower secondary","Number","2888"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Upper secondary","Number","4326"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Technical/vocational","Number","953"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Advanced certificate/completed apprenticeship","Number","382"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Higher certificate","Number","488"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Ordinary bachelor degree/professional qualification or both","Number","798"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Honours bachelor degree/professional qualification or both","Number","1340"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Postgraduate diploma or degree","Number","899"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Doctorate (Ph.D.)","Number","65"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Not stated","Number","1472"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Male","Economic status - other","Number","4324"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Total education ceased and not ceased","Number","15229"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","No formal education","Number","313"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Primary","Number","458"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Lower secondary","Number","1455"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Upper secondary","Number","2732"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Technical/vocational","Number","811"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Advanced certificate/completed apprenticeship","Number","335"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Higher certificate","Number","482"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Ordinary bachelor degree/professional qualification or both","Number","726"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Honours bachelor degree/professional qualification or both","Number","1305"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Postgraduate diploma or degree","Number","1032"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Doctorate (Ph.D.)","Number","110"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Not stated","Number","1115"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unemployed looking for first regular job","Female","Economic status - other","Number","4355"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Total education ceased and not ceased","Number","176276"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","No formal education","Number","5242"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Primary","Number","10114"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Lower secondary","Number","28695"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Upper secondary","Number","34760"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Technical/vocational","Number","13566"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Advanced certificate/completed apprenticeship","Number","7327"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Higher certificate","Number","7799"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","8901"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Honours bachelor degree/professional qualification or both","Number","12725"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Postgraduate diploma or degree","Number","8449"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Doctorate (Ph.D.)","Number","646"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Not stated","Number","16312"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Both sexes","Economic status - other","Number","21740"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Total education ceased and not ceased","Number","97449"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","No formal education","Number","3414"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Primary","Number","6628"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Lower secondary","Number","18662"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Upper secondary","Number","19301"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Technical/vocational","Number","6557"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Advanced certificate/completed apprenticeship","Number","4485"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Higher certificate","Number","3470"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Ordinary bachelor degree/professional qualification or both","Number","4328"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Honours bachelor degree/professional qualification or both","Number","6055"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Postgraduate diploma or degree","Number","3754"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Doctorate (Ph.D.)","Number","356"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Not stated","Number","9680"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Male","Economic status - other","Number","10759"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Total education ceased and not ceased","Number","78827"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","No formal education","Number","1828"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Primary","Number","3486"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Lower secondary","Number","10033"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Upper secondary","Number","15459"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Technical/vocational","Number","7009"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Advanced certificate/completed apprenticeship","Number","2842"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Higher certificate","Number","4329"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Ordinary bachelor degree/professional qualification or both","Number","4573"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Honours bachelor degree/professional qualification or both","Number","6670"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Postgraduate diploma or degree","Number","4695"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Doctorate (Ph.D.)","Number","290"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Not stated","Number","6632"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Unemployed having lost or given up previous job","Female","Economic status - other","Number","10981"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Total education ceased and not ceased","Number","459275"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","No formal education","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Primary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Not stated","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Economic status - total at school, university, etc.","Number","459275"
"Population Aged 15 Years and Over","2022","Student or pupil","Both sexes","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Total education ceased and not ceased","Number","221871"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","No formal education","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Primary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Not stated","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Economic status - total at school, university, etc.","Number","221871"
"Population Aged 15 Years and Over","2022","Student or pupil","Male","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Total education ceased and not ceased","Number","237404"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","No formal education","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Primary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Lower secondary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Upper secondary","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Technical/vocational","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Advanced certificate/completed apprenticeship","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Higher certificate","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Ordinary bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Honours bachelor degree/professional qualification or both","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Postgraduate diploma or degree","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Doctorate (Ph.D.)","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Not stated","Number","0"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Economic status - total at school, university, etc.","Number","237404"
"Population Aged 15 Years and Over","2022","Student or pupil","Female","Economic status - other","Number","0"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Total education ceased and not ceased","Number","272318"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","No formal education","Number","7370"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Primary","Number","25465"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Lower secondary","Number","49713"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Upper secondary","Number","60060"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Technical/vocational","Number","23530"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Advanced certificate/completed apprenticeship","Number","9744"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Higher certificate","Number","13084"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","16105"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Honours bachelor degree/professional qualification or both","Number","17547"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Postgraduate diploma or degree","Number","12507"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Doctorate (Ph.D.)","Number","828"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Not stated","Number","14854"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Looking after home/family","Both sexes","Economic status - other","Number","21511"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Total education ceased and not ceased","Number","27495"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","No formal education","Number","1149"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Primary","Number","2793"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Lower secondary","Number","5315"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Upper secondary","Number","4640"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Technical/vocational","Number","1933"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Advanced certificate/completed apprenticeship","Number","1617"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Higher certificate","Number","1027"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Ordinary bachelor degree/professional qualification or both","Number","1534"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Honours bachelor degree/professional qualification or both","Number","1495"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Postgraduate diploma or degree","Number","1097"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Doctorate (Ph.D.)","Number","117"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Not stated","Number","1761"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Looking after home/family","Male","Economic status - other","Number","3017"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Total education ceased and not ceased","Number","244823"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","No formal education","Number","6221"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Primary","Number","22672"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Lower secondary","Number","44398"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Upper secondary","Number","55420"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Technical/vocational","Number","21597"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Advanced certificate/completed apprenticeship","Number","8127"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Higher certificate","Number","12057"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Ordinary bachelor degree/professional qualification or both","Number","14571"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Honours bachelor degree/professional qualification or both","Number","16052"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Postgraduate diploma or degree","Number","11410"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Doctorate (Ph.D.)","Number","711"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Not stated","Number","13093"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Looking after home/family","Female","Economic status - other","Number","18494"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Total education ceased and not ceased","Number","657790"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","No formal education","Number","30683"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Primary","Number","141411"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Lower secondary","Number","115605"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Upper secondary","Number","105879"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Technical/vocational","Number","43979"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Advanced certificate/completed apprenticeship","Number","21951"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Higher certificate","Number","21497"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Ordinary bachelor degree/professional qualification or both","Number","44909"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Honours bachelor degree/professional qualification or both","Number","32557"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Postgraduate diploma or degree","Number","32564"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Doctorate (Ph.D.)","Number","4887"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Not stated","Number","48749"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Retired","Both sexes","Economic status - other","Number","13119"
"Population Aged 15 Years and Over","2022","Retired","Male","Total education ceased and not ceased","Number","315705"
"Population Aged 15 Years and Over","2022","Retired","Male","No formal education","Number","16917"
"Population Aged 15 Years and Over","2022","Retired","Male","Primary","Number","75299"
"Population Aged 15 Years and Over","2022","Retired","Male","Lower secondary","Number","52117"
"Population Aged 15 Years and Over","2022","Retired","Male","Upper secondary","Number","42950"
"Population Aged 15 Years and Over","2022","Retired","Male","Technical/vocational","Number","23094"
"Population Aged 15 Years and Over","2022","Retired","Male","Advanced certificate/completed apprenticeship","Number","14970"
"Population Aged 15 Years and Over","2022","Retired","Male","Higher certificate","Number","9009"
"Population Aged 15 Years and Over","2022","Retired","Male","Ordinary bachelor degree/professional qualification or both","Number","18949"
"Population Aged 15 Years and Over","2022","Retired","Male","Honours bachelor degree/professional qualification or both","Number","15304"
"Population Aged 15 Years and Over","2022","Retired","Male","Postgraduate diploma or degree","Number","15252"
"Population Aged 15 Years and Over","2022","Retired","Male","Doctorate (Ph.D.)","Number","3356"
"Population Aged 15 Years and Over","2022","Retired","Male","Not stated","Number","22114"
"Population Aged 15 Years and Over","2022","Retired","Male","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Retired","Male","Economic status - other","Number","6374"
"Population Aged 15 Years and Over","2022","Retired","Female","Total education ceased and not ceased","Number","342085"
"Population Aged 15 Years and Over","2022","Retired","Female","No formal education","Number","13766"
"Population Aged 15 Years and Over","2022","Retired","Female","Primary","Number","66112"
"Population Aged 15 Years and Over","2022","Retired","Female","Lower secondary","Number","63488"
"Population Aged 15 Years and Over","2022","Retired","Female","Upper secondary","Number","62929"
"Population Aged 15 Years and Over","2022","Retired","Female","Technical/vocational","Number","20885"
"Population Aged 15 Years and Over","2022","Retired","Female","Advanced certificate/completed apprenticeship","Number","6981"
"Population Aged 15 Years and Over","2022","Retired","Female","Higher certificate","Number","12488"
"Population Aged 15 Years and Over","2022","Retired","Female","Ordinary bachelor degree/professional qualification or both","Number","25960"
"Population Aged 15 Years and Over","2022","Retired","Female","Honours bachelor degree/professional qualification or both","Number","17253"
"Population Aged 15 Years and Over","2022","Retired","Female","Postgraduate diploma or degree","Number","17312"
"Population Aged 15 Years and Over","2022","Retired","Female","Doctorate (Ph.D.)","Number","1531"
"Population Aged 15 Years and Over","2022","Retired","Female","Not stated","Number","26635"
"Population Aged 15 Years and Over","2022","Retired","Female","Economic status - total at school, university, etc.","Number","0"
"Population Aged 15 Years and Over","2022","Retired","Female","Economic status - other","Number","6745"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Total education ceased and not ceased","Number","189308"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","No formal education","Number","17907"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Primary","Number","26189"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Lower secondary","Number","44033"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Upper secondary","Number","31762"
"Population Aged 15 Years and Over","2022","Unable to work due to permanent sickness or disability","Both sexes","Technical/vocational","Number","13377"
